Id,Name,Clan,Sect,Strength,Blood,Backgrounds,Merits,Text,Age,Disciplines,Artist
1,Gabe Sorrows,Assamite,Independent,3,7,"Resources 1, Herd 3","Blood Cursed, Wrath",Ghaem has Rush while you have a vampire in torpor.,Ancilla,"Quietus, Celerity, Obfuscate",Test artist
2,Khaled bin Yusuf,Assamite,Independent,2,6,"Retainers 3, Contacts 3, Resources 2",Blood Cursed,Limited: Khaled can lock and spend 1 blood to give a vampire controlled by your opponent Bounty. ,Ancilla,"Quietus, Celerity, Obfuscate",
3,Hassan,Assamite,Independent,3,9,"Contacts 4, Status 2, Retainers 3","Blood Cursed, Retribution",Limited: Hassan unlocks after successfully playing an action that requires Quietus.,Elder,"Quietus, Celerity, Obfuscate, Fortitude",
4,Whisper,Assamite,Independent,5,9,Mentor 2,"Blood Cursed, Vengeful, Rush, Bloodthirsty","Limited: when a Vampire you control loses a combat, you can lock Whisper to move 2 blood from the opposing vampire to Whisper. ",Elder,"Quietus, Celerity, Obfuscate, Thaumaturgy",
5,Naim Lourenzo,Assamite,Independent,1,3,,"Blood Cursed, Abactor",Najir has +1 Strength when hunting,Fledgeling,Obfuscate,Another test artist
6,Layla al-Sudani,Assamite,Independent,2,2,,"Blood Cursed, Bloodthirsty, Rebel",Leila has +1 Strength when fighting a Vampire that has Bounty,Fledgeling,Quietus,
7,Salim Khouri,Assamite,Independent,2,5,Mentor 2,"Blood Cursed, Rush",Limited: Salim can spend 1 blood to get +1 Strength during a combat.,Neonate,"Quietus, Celerity",
8,Baab,Assamite,Independent,3,4,"Retainers 2, Resources 1",Blood Cursed,"Limited: If an opponents attacks your domain and fails, Baab can spend 1 blood to unlock",Neonate,"Quietus, Obfuscate",
9,Malik ibn Shariq,Assamite ,Sabbat,3,7,"Status 1, Contacts 1",Abactor,"Limited: After a Victim in your opponent's Domain is killed, Malik gains 1 blood. ",Ancilla,"Quietus, Celerity, Obfuscate",the same test artist
10,Dominique Armani,Assamite ,Sabbat,3,6,"Resources 2, Contacts 2","Vengeful, Wrath","Limited: After Dominique commits a Diablerie, you can search your deck for an action and move it to your hand, and discard to your handsize afterwards.",Ancilla,"Quietus, Celerity, Auspex",
11,Angelo Sarleoni,Assamite ,Sabbat,4,10,"Status 2, Mentor 1","Bloodthirsty, Rush","Limited: After a Vampire you control wins a combat and sends the opposing vampire to torpor, you can lock the Black Angel to diablerize the opposing Vampire. ",Elder,"Quietus, Celerity, Obfuscate, Potence",
12,Samir Correa,Assamite ,Sabbat,4,9,"Status 2, Retainers 2, Resources 1",,Samir has +2 strength if there's an Asset on your opponent's discard pile. ,Elder,"Quietus, Celerity, Obfuscate, Dominate",
13,Zara of Tangiers,Assamite ,Sabbat,1,3,,"Abactor, Exploit","Limited: When Zara hunts a Victim on your opponent's Domain, she can spend 1 blood to give another vampire you control +1 strength until the end of the round.",Fledgeling,Obfuscate,
14,Smily Thomas,Assamite ,Sabbat,2,2,,Rush,Thomas has +1 Strength when fighting a damaged vampire.,Fledgeling,Celerity,
15,Farid al-Rashid,Assamite ,Sabbat,2,5,Contacts 3,Devious,"After an asset your opponent controls is discarded from play, Farid gains 1 blood.",Neonate,"Quietus, Obfuscate",
16,Sharp Ollie,Assamite ,Sabbat,3,4,"Rush, Wrath, Bloodthirsty",,Ollie has +1 Strength while he has a melee weapon.,Neonate,"Quietus, Celerity",
17,Polina Bruta,Brujah,Camarilla,3,7,Resources 1,"Rush, Overwhelm, Rebel ","Limited:  after Polina sends a vampire to torpor in combat, she can spend 1 blood to unlock.",Ancilla,"Potence, Celerity, Presence",
18,Daniel Fontes,Brujah,Camarilla,3,6,"Status 1, Retainers 3, Resources 1",primogen,"Limited: after a vote you played passes, Daniel can spend 1 blood to unlock.",Ancilla,"Potence, Presence, Dominate",
19,Jessica Voss,Brujah,Camarilla,3,9,"Status 2, Resources 1","Prince, Loyal, Wrath","While all of your other Vampires are Locked, Jessica has +3 Strength. ",Elder,"Potence, Presence, Celerity, Protean",
20,Thalia,Brujah,Camarilla,4,9,"Resources 2, Contacts 2","Wrath, Sheriff","While you control a neonate or   in torpor, Thalia has +3 strength. ",Elder,"Potence, Presence, Celerity, Fortitude",
21,Darren Cole,Brujah,Camarilla,2,2,,"Rebel, Bloodthirsty",Darren has +1 strength when attacking a Domain,Fledgeling,Potence,
22,Lu Bonne,Brujah,Camarilla,1,3,,Rush,"While Lu has a Celerity Power attached to her, she has +1 Strength.",Fledgeling,Celerity,
23,Malik Reyes,Brujah,Camarilla,3,4,,"Rebel, Rush, Bloodthirsty","Limited: When Malik wins a combat with an older vampire, gain 1 victory point",Neonate,"Potence, Celerity",
24,Victor Abrantes,Brujah,Camarilla,2,5,"Resources 1, Herd 2",,"Limited: after Victor loses a combat, the opposing vampire loses 1 blood.",Neonate,"Potence, Presence",
25,Henrique Silvano,Brujah,Sabbat,3,6,"Status 2, Herd 2","Abactor, Bishop","While there are three or more Victims in play, Henri has +1 Strength. ",Ancilla,"Potence, Celerity, Dominate",
26,Santiago Guerra,Brujah,Sabbat,3,7,"Contacts 2, Herd 1","Rush, Overwhelm","When Santiago destroys an Asset controlled by your opponent, you gain 1 additional Victory point. ",Ancilla,"Potence, Celerity, Presence",
27,Estela Basile,Brujah,Sabbat,4,9,"Status 2, Retainers 2",Archbishop,"Limited: When another vampire you control is in combat, Estela can spent 1 blood to give that vampire +2 strength.",Elder,"Potence, Celerity, Presence, Obtenebration",
28,Mikhail Vitaly,Brujah,Sabbat,5,9,"Status 1, Resources 1","Wrath, bishop",Mikhail has +1 strength for each elder in torpor. ,Elder,"Potence, Celerity, Auspex, Obfuscate",
29,Lee,Brujah,Sabbat,1,3,Herd 2,,"While Lee has a Presence Power attached to her, she has +1 Strength.",Fledgeling,Presence,
30,Ripper,Brujah,Sabbat,1,2,,"Wrath, Rebel",Ripper has +1 Strength when hunting.,Fledgeling,Potence,
31,Don Saul,Brujah,Sabbat,2,5,"Retainers 2, Resources 1",,"While Saul has a retainer, he has Resources 1 and Contacts 1.",Neonate,"Potence, Fortitude",
32,Santina,Brujah,Sabbat,2,4,"Mentor 2, Retainers 2","Templar, Wrath","While you have a bishop,  archbishop or cardinal in play, Santina has +1 Strength and Loyal. ",Neonate,"Potence, Celerity",
33,Rurik,Gangrel,Independent,2,6,"Retainers 3, Resources 2, Herd 2",Feral,"Limited: after your opponent successfully attacks your domain, Rurik can spend 1 blood to gain Secluded",Ancilla,"Animalism, Protean, Fortitude",
34,Thiago Real,Gangrel,Independent,4,6,Retainers 3,"Rush, Bloodthirsty","Limited: After you successfully defend your domain, Thiago can spend 1 blood to unlock. ",Ancilla,"Animalism, Protean, Potence",
35,Valdrick Torrence,Gangrel,Independent,4,9,"Herd 4, Status 1, Retainers 1",Loyal,Limited: Valdrick can lock and spend 1 blood to look at the opponents hand and make them lose 1 influence for each asset revealed there. ,Elder,"celerity, obfuscate, protean, fortitude",
36,Luthor Blackclaw,Gangrel,Independent,4,9,Resources 2,"Rush, Bloodthirsty, Wrath",Vampires cannot play cards that end combat against Luthor.,Elder,"Animalism, Protean, Fortitude, Obfuscate",
37,Mira,Gangrel,Independent,1,3,"Contacts 1, Herd 1",,"While Mira has a Protean Power attached to her, she has +1 Strength.",Fledgeling,Protean,
38,Rowan,Gangrel,Independent,2,2,Retainers 1,Feral,"Limited: after one of your vampires plays an animal retainer, Rowan can spend 1 blood to unlock",Fledgeling,Animalism,
